# i,j,k,Xi,Yj,Zk,Bxi,Bxj,Bxk,Bmagnitude,Gradientx,Bgradienty,Bgradientz
0.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,2.777777777777778567e+00,-2.707873223898581585e-09,8.975011473619301620e-10,4.502875518622441909e-09,5.330475930199122481e-09,2.479312431179580297e-09,-2.893501776608899930e-10,-3.646877812559463171e-10
0.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,3.888888888888889284e+00,-2.740344872283035501e-09,5.643498959667434228e-10,3.869044664216522347e-09,4.774671448155144107e-09,1.762585141240130756e-09,-2.573375935544394286e-10,-6.303855900388939622e-10
0.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,5.000000000000000000e+00,-2.534608680814874761e-09,3.168260851018593452e-10,3.168260851018593348e-09,4.069704750121334557e-09,1.143737360743554977e-09,-2.019265364969275749e-10,-7.049666980338095502e-10
0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,-5.000000000000000000e+00,1.165202200187487669e-09,1.051928484710803884e-09,9.386547692341200994e-10,1.829022274351433178e-09,4.670073260552649117e-10,4.016393874842338153e-11,4.012211867423118152e-10
0.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,-3.888888888888888840e+00,1.125977656866832565e-09,1.281365800658231657e-09,1.436753944449630750e-09,2.230243461093744994e-09,6.344418697831210909e-10,2.961743376784540419e-11,4.673416098961568807e-10
0.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,-2.777777777777777679e+00,9.281774446920407473e-10,1.520553538064542886e-09,2.112929631437045026e-09,2.763705494143746940e-09,8.852935081473409095e-10,-2.120489039299842741e-11,6.030341673566011476e-10
0.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,-1.666666666666666519e+00,5.008634811442030191e-10,1.717395272053556630e-09,2.933927062962910242e-09,3.436311795806947289e-09,1.268399602100416882e-09,-1.415531091201217693e-10,7.019567140634643226e-10
0.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,-5.555555555555553582e-01,-1.675149366752449868e-10,1.795002294723860324e-09,3.757519526122965428e-09,4.167618922270675585e-09,1.770914857475882118e-09,-3.302230923452824803e-10,6.626077756215581576e-10
0.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,5.555555555555553582e-01,-9.604931285013778013e-10,1.692583248162538379e-09,4.345659624826454973e-09,4.761527347050063604e-09,2.190006275441091601e-09,-5.225377117955453125e-10,4.186199020038255094e-10
0.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,1.666666666666666963e+00,-1.658226921674198155e-09,1.422324298474121877e-09,4.502875518622441909e-09,5.004858726278326604e-09,2.238992594539083816e-09,-6.262075291008741234e-10,3.521325283632593794e-11
